Data,Comarcacodi,Comarca,Sexecodi,Sexedescripcio,Test,Numcasos,Provincia
2021-01-01,1.0,ALT CAMP,0.0,Home,Positiu PCR,3,Tarragona
2021-01-01,1.0,ALT CAMP,0.0,Home,Positiu TAR,2,Tarragona
2021-01-01,1.0,ALT CAMP,1.0,Dona,Positiu PCR,2,Tarragona
2021-01-01,1.0,ALT CAMP,1.0,Dona,Positiu TAR,3,Tarragona
2021-01-01,2.0,ALT EMPORDA,0.0,Home,Positiu PCR,1,Girona
2021-01-01,2.0,ALT EMPORDA,0.0,Home,Positiu TAR,23,Girona
2021-01-01,2.0,ALT EMPORDA,1.0,Dona,Positiu PCR,3,Girona
2021-01-01,2.0,ALT EMPORDA,1.0,Dona,Positiu TAR,15,Girona
2021-01-01,3.0,ALT PENEDES,0.0,Home,PCR probable,1,Barcelona
2021-01-01,3.0,ALT PENEDES,0.0,Home,Positiu PCR,2,Barcelona
2021-01-01,3.0,ALT PENEDES,0.0,Home,Positiu TAR,7,Barcelona
2021-01-01,3.0,ALT PENEDES,1.0,Dona,Positiu PCR,3,Barcelona
2021-01-01,3.0,ALT PENEDES,1.0,Dona,Positiu TAR,9,Barcelona
2021-01-01,4.0,ALT URGELL,0.0,Home,Positiu PCR,4,Lleida
2021-01-01,4.0,ALT URGELL,1.0,Dona,Positiu PCR,1,Lleida
2021-01-01,6.0,ANOIA,0.0,Home,Positiu PCR,4,Barcelona
2021-01-01,6.0,ANOIA,0.0,Home,Positiu TAR,9,Barcelona
2021-01-01,6.0,ANOIA,1.0,Dona,Positiu PCR,6,Barcelona
2021-01-01,6.0,ANOIA,1.0,Dona,Positiu TAR,12,Barcelona
2021-01-01,6.0,ANOIA,1.0,Dona,Positiu per ELISA,1,Barcelona
2021-01-01,6.0,ANOIA,1.0,Dona,Positiu per Test Ràpid,1,Barcelona
2021-01-01,7.0,BAGES,0.0,Home,Positiu PCR,1,Barcelona
2021-01-01,7.0,BAGES,0.0,Home,Positiu TAR,11,Barcelona
2021-01-01,7.0,BAGES,0.0,Home,Positiu per ELISA,1,Barcelona
2021-01-01,7.0,BAGES,1.0,Dona,Positiu PCR,4,Barcelona
2021-01-01,7.0,BAGES,1.0,Dona,Positiu TAR,16,Barcelona
2021-01-01,7.0,BAGES,1.0,Dona,Positiu per ELISA,1,Barcelona
2021-01-01,8.0,BAIX CAMP,0.0,Home,Positiu PCR,9,Tarragona
2021-01-01,8.0,BAIX CAMP,0.0,Home,Positiu TAR,11,Tarragona
2021-01-01,8.0,BAIX CAMP,1.0,Dona,Positiu PCR,17,Tarragona
2021-01-01,8.0,BAIX CAMP,1.0,Dona,Positiu TAR,10,Tarragona
2021-01-01,9.0,BAIX EBRE,0.0,Home,Positiu TAR,2,Tarragona
2021-01-01,9.0,BAIX EBRE,1.0,Dona,Positiu PCR,1,Tarragona
2021-01-01,9.0,BAIX EBRE,1.0,Dona,Positiu TAR,4,Tarragona
2021-01-01,10.0,BAIX EMPORDA,0.0,Home,Positiu PCR,2,Girona
2021-01-01,10.0,BAIX EMPORDA,0.0,Home,Positiu TAR,3,Girona
2021-01-01,10.0,BAIX EMPORDA,1.0,Dona,Positiu PCR,2,Girona
2021-01-01,10.0,BAIX EMPORDA,1.0,Dona,Positiu TAR,4,Girona
2021-01-01,11.0,BAIX LLOBREGAT,0.0,Home,PCR probable,3,Barcelona
2021-01-01,11.0,BAIX LLOBREGAT,0.0,Home,Positiu PCR,23,Barcelona
2021-01-01,11.0,BAIX LLOBREGAT,0.0,Home,Positiu TAR,35,Barcelona
2021-01-01,11.0,BAIX LLOBREGAT,1.0,Dona,Positiu PCR,31,Barcelona
2021-01-01,11.0,BAIX LLOBREGAT,1.0,Dona,Positiu TAR,37,Barcelona
2021-01-01,11.0,BAIX LLOBREGAT,1.0,Dona,Positiu per ELISA,3,Barcelona
2021-01-01,12.0,BAIX PENEDES,0.0,Home,Positiu PCR,3,Tarragona
2021-01-01,12.0,BAIX PENEDES,0.0,Home,Positiu TAR,6,Tarragona
2021-01-01,12.0,BAIX PENEDES,1.0,Dona,Positiu PCR,1,Tarragona
2021-01-01,12.0,BAIX PENEDES,1.0,Dona,Positiu TAR,4,Tarragona
2021-01-01,13.0,BARCELONES,0.0,Home,Positiu PCR,50,Barcelona
2021-01-01,13.0,BARCELONES,0.0,Home,Positiu TAR,76,Barcelona
2021-01-01,13.0,BARCELONES,0.0,Home,Positiu per ELISA,7,Barcelona
2021-01-01,13.0,BARCELONES,1.0,Dona,Positiu PCR,63,Barcelona
2021-01-01,13.0,BARCELONES,1.0,Dona,Positiu TAR,76,Barcelona
2021-01-01,13.0,BARCELONES,1.0,Dona,Positiu per ELISA,8,Barcelona
2021-01-01,14.0,BERGUEDA,0.0,Home,Positiu PCR,3,Lleida
2021-01-01,14.0,BERGUEDA,0.0,Home,Positiu TAR,1,Lleida
2021-01-01,14.0,BERGUEDA,1.0,Dona,Positiu PCR,6,Lleida
2021-01-01,14.0,BERGUEDA,1.0,Dona,Positiu TAR,1,Lleida
2021-01-01,14.0,BERGUEDA,1.0,Dona,Positiu per ELISA,1,Lleida
2021-01-01,15.0,CERDANYA,0.0,Home,Positiu PCR,1,Lleida
2021-01-01,15.0,CERDANYA,0.0,Home,Positiu TAR,4,Lleida
2021-01-01,15.0,CERDANYA,1.0,Dona,Positiu TAR,2,Lleida
2021-01-01,15.0,CERDANYA,1.0,Dona,Positiu per ELISA,1,Lleida
2021-01-01,16.0,CONCA DE BARBERA,0.0,Home,Positiu TAR,1,Tarragona
2021-01-01,16.0,CONCA DE BARBERA,1.0,Dona,Positiu PCR,1,Tarragona
2021-01-01,16.0,CONCA DE BARBERA,1.0,Dona,Positiu TAR,1,Tarragona
2021-01-01,17.0,GARRAF,0.0,Home,Positiu PCR,6,Barcelona
2021-01-01,17.0,GARRAF,0.0,Home,Positiu TAR,3,Barcelona
2021-01-01,17.0,GARRAF,0.0,Home,Positiu per ELISA,1,Barcelona
2021-01-01,17.0,GARRAF,1.0,Dona,Positiu PCR,10,Barcelona
2021-01-01,17.0,GARRAF,1.0,Dona,Positiu TAR,2,Barcelona
2021-01-01,18.0,GARRIGUES,0.0,Home,Positiu PCR,1,Lleida
2021-01-01,19.0,GARROTXA,0.0,Home,Positiu PCR,3,Girona
2021-01-01,19.0,GARROTXA,0.0,Home,Positiu TAR,3,Girona
2021-01-01,19.0,GARROTXA,1.0,Dona,Positiu PCR,2,Girona
2021-01-01,19.0,GARROTXA,1.0,Dona,Positiu TAR,1,Girona
2021-01-01,20.0,GIRONES,0.0,Home,Positiu TAR,6,Girona
2021-01-01,20.0,GIRONES,1.0,Dona,Positiu PCR,2,Girona
2021-01-01,20.0,GIRONES,1.0,Dona,Positiu TAR,7,Girona
2021-01-01,21.0,MARESME,0.0,Home,Positiu PCR,8,Barcelona
2021-01-01,21.0,MARESME,0.0,Home,Positiu TAR,38,Barcelona
2021-01-01,21.0,MARESME,1.0,Dona,PCR probable,1,Barcelona
2021-01-01,21.0,MARESME,1.0,Dona,Positiu PCR,11,Barcelona
2021-01-01,21.0,MARESME,1.0,Dona,Positiu TAR,36,Barcelona
2021-01-01,22.0,MONTSIA,0.0,Home,Positiu PCR,1,Tarragona
2021-01-01,22.0,MONTSIA,0.0,Home,Positiu TAR,4,Tarragona
2021-01-01,22.0,MONTSIA,1.0,Dona,Positiu PCR,1,Tarragona
2021-01-01,22.0,MONTSIA,1.0,Dona,Positiu TAR,8,Tarragona
2021-01-01,23.0,NOGUERA,0.0,Home,Positiu TAR,2,Lleida
2021-01-01,24.0,OSONA,0.0,Home,Positiu PCR,4,Girona
2021-01-01,24.0,OSONA,0.0,Home,Positiu TAR,12,Girona
2021-01-01,24.0,OSONA,1.0,Dona,Positiu PCR,3,Girona
2021-01-01,24.0,OSONA,1.0,Dona,Positiu TAR,11,Girona
2021-01-01,25.0,PALLARS JUSSA,0.0,Home,Positiu TAR,1,Lleida
2021-01-01,27.0,PLA D'URGELL,0.0,Home,Positiu PCR,1,Lleida
2021-01-01,27.0,PLA D'URGELL,0.0,Home,Positiu TAR,3,Lleida
2021-01-01,27.0,PLA D'URGELL,1.0,Dona,Positiu TAR,5,Lleida
2021-01-01,27.0,PLA D'URGELL,1.0,Dona,Positiu per ELISA,1,Lleida
2021-01-01,28.0,PLA DE L'ESTANY,0.0,Home,Positiu TAR,1,Girona
2021-01-01,28.0,PLA DE L'ESTANY,1.0,Dona,Positiu PCR,1,Girona
2021-01-01,28.0,PLA DE L'ESTANY,1.0,Dona,Positiu TAR,1,Girona
2021-01-01,29.0,PRIORAT,0.0,Home,Positiu PCR,1,Tarragona
2021-01-01,29.0,PRIORAT,0.0,Home,Positiu TAR,1,Tarragona
2021-01-01,29.0,PRIORAT,1.0,Dona,Positiu TAR,1,Tarragona
2021-01-01,30.0,RIBERA D'EBRE,0.0,Home,Positiu PCR,1,Tarragona
2021-01-01,30.0,RIBERA D'EBRE,0.0,Home,Positiu TAR,2,Tarragona
2021-01-01,30.0,RIBERA D'EBRE,1.0,Dona,Positiu TAR,2,Tarragona
2021-01-01,31.0,RIPOLLES,0.0,Home,Positiu TAR,2,Girona
2021-01-01,31.0,RIPOLLES,1.0,Dona,PCR probable,1,Girona
2021-01-01,31.0,RIPOLLES,1.0,Dona,Positiu PCR,4,Girona
2021-01-01,31.0,RIPOLLES,1.0,Dona,Positiu TAR,2,Girona
2021-01-01,32.0,SEGARRA,1.0,Dona,Positiu TAR,1,Lleida
2021-01-01,33.0,SEGRIA,0.0,Home,Positiu PCR,3,Lleida
2021-01-01,33.0,SEGRIA,0.0,Home,Positiu TAR,12,Lleida
2021-01-01,33.0,SEGRIA,1.0,Dona,Positiu PCR,3,Lleida
2021-01-01,33.0,SEGRIA,1.0,Dona,Positiu TAR,9,Lleida
2021-01-01,34.0,SELVA,0.0,Home,Positiu PCR,4,Barcelona
2021-01-01,34.0,SELVA,0.0,Home,Positiu TAR,10,Barcelona
2021-01-01,34.0,SELVA,1.0,Dona,Positiu PCR,7,Barcelona
2021-01-01,34.0,SELVA,1.0,Dona,Positiu TAR,18,Barcelona
2021-01-01,36.0,TARRAGONES,0.0,Home,Positiu PCR,5,Tarragona
2021-01-01,36.0,TARRAGONES,0.0,Home,Positiu TAR,18,Tarragona
2021-01-01,36.0,TARRAGONES,1.0,Dona,Positiu PCR,6,Tarragona
2021-01-01,36.0,TARRAGONES,1.0,Dona,Positiu TAR,17,Tarragona
2021-01-01,37.0,TERRA ALTA,0.0,Home,Positiu PCR,1,Tarragona
2021-01-01,37.0,TERRA ALTA,0.0,Home,Positiu TAR,1,Tarragona
2021-01-01,37.0,TERRA ALTA,1.0,Dona,Positiu TAR,1,Tarragona
2021-01-01,38.0,URGELL,0.0,Home,Positiu TAR,3,Lleida
2021-01-01,38.0,URGELL,1.0,Dona,Positiu PCR,1,Lleida
2021-01-01,38.0,URGELL,1.0,Dona,Positiu TAR,1,Lleida
2021-01-01,40.0,VALLES OCCIDENTAL,0.0,Home,Positiu PCR,29,Barcelona
